epoch,tr_loss,tr_auc,val_loss,val_auc,Atelectasis,Cardiomegaly,Consolidation,Edema,Effusion,Emphysema,Fibrosis,Hernia,Infiltration,Mass,No Finding,Nodule,Pleural_Thickening,Pneumonia,Pneumothorax
1,0.09545527052509425,0.5700436734377616,0.09384891505051535,0.6266110464752255,0.65,0.547,0.664,0.79,0.629,0.631,0.621,0.445,0.611,0.541,0.634,0.576,0.598,0.583,0.703
2,0.0923663759208409,0.6482720629663105,0.08261098577257725,0.6814755951613181,0.687,0.622,0.703,0.833,0.721,0.727,0.658,0.633,0.631,0.638,0.693,0.619,0.664,0.61,0.747
3,0.09051240702693382,0.6951739233588524,0.07842049060169941,0.7141222080504634,0.715,0.667,0.727,0.849,0.774,0.759,0.693,0.747,0.65,0.697,0.726,0.653,0.697,0.633,0.771
4,0.08872374219358888,0.7381072617817962,0.07644940121612159,0.7434273060815351,0.742,0.714,0.748,0.866,0.81,0.79,0.723,0.794,0.67,0.735,0.745,0.683,0.729,0.657,0.798
5,0.08815354143454099,0.7457341465838485,0.07718310946804874,0.770092587958367,0.764,0.783,0.762,0.881,0.842,0.835,0.741,0.838,0.677,0.773,0.756,0.702,0.745,0.677,0.83
6,0.0856851144554822,0.7816143913192377,0.07290079122802927,0.790277384683328,0.783,0.836,0.779,0.886,0.862,0.866,0.759,0.838,0.688,0.796,0.766,0.712,0.763,0.694,0.85
7,0.08439818476223587,0.7981879347404747,0.07098140367094478,0.8027098317573441,0.791,0.863,0.792,0.887,0.873,0.889,0.772,0.835,0.693,0.815,0.773,0.72,0.777,0.708,0.857
8,0.08332708470525704,0.8148301064879994,0.07020541843911329,0.8105295720663223,0.797,0.879,0.799,0.889,0.879,0.9,0.779,0.833,0.697,0.829,0.778,0.724,0.788,0.713,0.863
9,0.08232723186869312,0.8247861078418145,0.06988676741869228,0.8156949856057468,0.8,0.888,0.804,0.894,0.883,0.908,0.784,0.846,0.701,0.838,0.781,0.727,0.794,0.718,0.867
10,0.08107115615976467,0.836105951955296,0.06977577888009251,0.8189320872623601,0.803,0.891,0.806,0.897,0.885,0.911,0.785,0.851,0.702,0.843,0.783,0.731,0.799,0.723,0.868
11,0.08000059693059688,0.8447619299049125,0.06988971387055444,0.8196423303619453,0.805,0.89,0.806,0.899,0.885,0.913,0.783,0.854,0.704,0.847,0.784,0.731,0.801,0.724,0.868
12,0.07875362719703244,0.8569131219300891,0.07012665331222519,0.8198663723745797,0.807,0.89,0.805,0.898,0.884,0.91,0.782,0.868,0.706,0.847,0.784,0.733,0.803,0.728,0.866
13,0.07768111917388097,0.8647243976245204,0.07037038153325262,0.8188748013793317,0.807,0.887,0.802,0.897,0.883,0.907,0.78,0.864,0.706,0.845,0.784,0.734,0.803,0.732,0.862
14,0.07619602397721091,0.8733670104141655,0.07067074674766681,0.8174687419343895,0.807,0.885,0.801,0.893,0.881,0.905,0.781,0.865,0.707,0.843,0.783,0.733,0.803,0.731,0.858
15,0.075121706065718,0.8822644422260616,0.07104749461562058,0.815312411473884,0.805,0.883,0.797,0.892,0.879,0.899,0.778,0.873,0.706,0.84,0.782,0.731,0.802,0.731,0.855
16,0.07353670928726223,0.8907720175950132,0.07137129394665069,0.8129574470822176,0.804,0.879,0.793,0.888,0.877,0.894,0.778,0.871,0.706,0.836,0.781,0.728,0.801,0.732,0.853
17,0.07232766454333482,0.8958178313332433,0.07176362135094111,0.8103396548048256,0.802,0.875,0.79,0.885,0.874,0.89,0.777,0.878,0.704,0.833,0.78,0.726,0.8,0.73,0.85
18,0.07120206476628599,0.9026274248753969,0.07217979618718173,0.8062185049911611,0.798,0.872,0.784,0.879,0.872,0.881,0.773,0.863,0.702,0.828,0.779,0.724,0.796,0.721,0.849
19,0.06983744163564132,0.9113926660150045,0.0726985900906009,0.8019877925674422,0.795,0.869,0.778,0.875,0.869,0.877,0.769,0.855,0.7,0.826,0.777,0.72,0.79,0.712,0.846
20,0.06881094881276004,0.9156144210775273,0.07315205557149426,0.7975995848176534,0.791,0.865,0.775,0.869,0.866,0.868,0.769,0.842,0.698,0.82,0.775,0.717,0.784,0.706,0.842
