epoch,tr_loss,tr_auc,val_loss,val_auc,Atelectasis,Cardiomegaly,Consolidation,Edema,Effusion,Emphysema,Fibrosis,Hernia,Infiltration,Mass,No Finding,Nodule,Pleural_Thickening,Pneumonia,Pneumothorax
1,0.12102823505287823,0.5890459032388462,0.107405524675736,0.5819696873209973,0.598,0.507,0.635,0.778,0.577,0.515,0.644,0.638,0.627,0.533,0.625,0.508,0.557,0.519,0.567
2,0.11837907975587877,0.6634664138656694,0.10430220291503722,0.6416469377166484,0.646,0.557,0.683,0.812,0.678,0.635,0.649,0.682,0.634,0.594,0.681,0.567,0.64,0.551,0.695
3,0.11679494817752266,0.6961601337637587,0.10183309832661726,0.6756170136794452,0.677,0.605,0.705,0.83,0.733,0.708,0.658,0.708,0.64,0.652,0.704,0.59,0.67,0.578,0.737
4,0.11494308769105176,0.7355743140222352,0.10014258498726264,0.7002458957827,0.7,0.654,0.717,0.843,0.771,0.749,0.672,0.725,0.649,0.692,0.722,0.607,0.685,0.599,0.764
5,0.1140613525223359,0.7496253829771937,0.09863223201022338,0.7245786072625934,0.721,0.696,0.732,0.855,0.798,0.779,0.697,0.76,0.662,0.73,0.737,0.624,0.711,0.624,0.791
6,0.11212289550421957,0.7784332179879964,0.0966272996640403,0.7507481236096131,0.743,0.74,0.749,0.866,0.822,0.813,0.723,0.775,0.675,0.755,0.749,0.66,0.743,0.65,0.822
7,0.11091685563569983,0.7922465579182087,0.09440734784690638,0.7706335019774363,0.76,0.787,0.763,0.875,0.841,0.838,0.741,0.79,0.684,0.772,0.758,0.69,0.761,0.667,0.839
8,0.1097925487126884,0.807951005404066,0.0924659288435945,0.7848595120450967,0.774,0.818,0.774,0.882,0.856,0.858,0.754,0.807,0.691,0.788,0.764,0.706,0.773,0.68,0.851
9,0.10865175871132152,0.8182975496046436,0.0910756700433451,0.7954212133774665,0.783,0.84,0.782,0.886,0.866,0.874,0.763,0.824,0.695,0.804,0.77,0.713,0.781,0.695,0.859
10,0.10755355667820075,0.8278328046542186,0.09017412585221218,0.8034813907148233,0.79,0.857,0.79,0.888,0.873,0.887,0.77,0.842,0.699,0.816,0.774,0.718,0.79,0.703,0.862
11,0.10651503577977059,0.8363852751599568,0.08962020707631549,0.8096787270818674,0.795,0.868,0.796,0.89,0.878,0.896,0.778,0.858,0.702,0.826,0.777,0.722,0.796,0.713,0.865
12,0.10534137670393941,0.8431491010474588,0.08926306414914738,0.8142439507448127,0.8,0.876,0.8,0.892,0.881,0.902,0.78,0.871,0.705,0.834,0.779,0.726,0.8,0.721,0.868
13,0.10377286107387035,0.8526574628359728,0.08912470490357945,0.8171849648439774,0.804,0.88,0.803,0.894,0.883,0.904,0.782,0.88,0.706,0.841,0.781,0.728,0.804,0.724,0.869
14,0.10240268136937866,0.8617903366502805,0.08910852840149311,0.8193285905127675,0.806,0.881,0.804,0.894,0.885,0.907,0.783,0.889,0.708,0.846,0.783,0.731,0.806,0.731,0.869
15,0.10162309751182147,0.866057434151544,0.0892290035371882,0.8200261970964408,0.807,0.882,0.805,0.895,0.885,0.907,0.782,0.889,0.709,0.847,0.783,0.732,0.808,0.732,0.868
16,0.10015598740145075,0.8721946877382497,0.08939891016345676,0.8201111857775513,0.807,0.88,0.805,0.895,0.885,0.906,0.781,0.896,0.71,0.849,0.784,0.733,0.808,0.735,0.868
17,0.09851036816772814,0.8809956247594671,0.08968224763217376,0.8198955087949091,0.807,0.881,0.805,0.895,0.885,0.905,0.781,0.894,0.71,0.849,0.784,0.733,0.807,0.735,0.867
18,0.09683482466416363,0.8881665221202717,0.09002583785265984,0.818505418683099,0.807,0.878,0.803,0.893,0.884,0.904,0.776,0.893,0.711,0.848,0.783,0.733,0.805,0.733,0.865
19,0.09553732497876374,0.891864029902571,0.09040545334101005,0.8176360877517733,0.806,0.875,0.802,0.891,0.883,0.903,0.778,0.899,0.71,0.847,0.783,0.733,0.805,0.733,0.864
20,0.09473225919592973,0.8977531358420376,0.09086030281158225,0.8164757655701304,0.805,0.873,0.801,0.891,0.881,0.902,0.776,0.897,0.709,0.844,0.782,0.732,0.803,0.734,0.862
21,0.09324481863988919,0.901346692304707,0.09131902211989222,0.8148432433104561,0.804,0.872,0.799,0.887,0.88,0.899,0.773,0.893,0.708,0.843,0.781,0.731,0.803,0.734,0.86
22,0.09211910373317986,0.9094066078170417,0.09176057148537317,0.8129941012176573,0.802,0.869,0.798,0.885,0.878,0.898,0.774,0.902,0.708,0.84,0.781,0.728,0.799,0.733,0.858
23,0.09130594121734473,0.9108613971329725,0.09225390984540581,0.8108066523194307,0.801,0.868,0.795,0.88,0.876,0.894,0.772,0.903,0.706,0.839,0.78,0.729,0.798,0.73,0.854
24,0.08980181728931055,0.9160127528784903,0.09275104874527758,0.8086275030678645,0.797,0.865,0.792,0.878,0.875,0.889,0.773,0.897,0.704,0.836,0.779,0.726,0.796,0.729,0.852
