epoch,tr_loss,tr_auc,val_loss,val_auc,Atelectasis,Cardiomegaly,Consolidation,Edema,Effusion,Emphysema,Fibrosis,Hernia,Infiltration,Mass,No Finding,Nodule,Pleural_Thickening,Pneumonia,Pneumothorax
1,0.09595892244773316,0.5482385517615437,0.08881705426354602,0.5500860521409416,0.536,0.491,0.62,0.735,0.541,0.497,0.647,0.487,0.608,0.497,0.553,0.503,0.561,0.5,0.416
2,0.09510496831044772,0.5699366083705597,0.08294857978697286,0.5856216916456932,0.582,0.511,0.643,0.783,0.575,0.505,0.668,0.577,0.614,0.522,0.567,0.521,0.589,0.568,0.533
3,0.09462020720808893,0.5798878174305748,0.0804569814060834,0.5942109119524679,0.589,0.522,0.647,0.787,0.58,0.515,0.666,0.628,0.615,0.529,0.571,0.531,0.587,0.589,0.568
4,0.09399154370780329,0.6070853684590825,0.07936645362453393,0.6029383967184216,0.598,0.546,0.664,0.803,0.602,0.52,0.65,0.63,0.619,0.526,0.587,0.535,0.592,0.587,0.595
5,0.09304609435403045,0.6244598759021169,0.07929013530183926,0.6253043284933858,0.629,0.602,0.689,0.821,0.669,0.54,0.634,0.634,0.631,0.547,0.628,0.542,0.619,0.6,0.607
6,0.09252695967363583,0.64125395792135,0.0783154210654711,0.6481409027696028,0.663,0.645,0.708,0.83,0.72,0.569,0.646,0.645,0.64,0.576,0.664,0.547,0.639,0.617,0.627
7,0.09191574930994498,0.6542455901313791,0.07686319833785701,0.6655305530872977,0.682,0.663,0.721,0.834,0.749,0.6,0.666,0.665,0.649,0.592,0.684,0.552,0.658,0.636,0.651
8,0.09173947952129906,0.6635408648038387,0.07552543332796961,0.6779864898328248,0.693,0.669,0.731,0.834,0.768,0.621,0.683,0.663,0.654,0.606,0.696,0.564,0.677,0.642,0.67
9,0.09131675960198178,0.6701215230831095,0.07488152113378647,0.6859502001926814,0.7,0.67,0.739,0.836,0.783,0.641,0.687,0.669,0.658,0.616,0.706,0.573,0.69,0.642,0.684
10,0.09107625729569765,0.6782602419752015,0.0744115269584653,0.6927707474469996,0.706,0.671,0.744,0.837,0.794,0.657,0.688,0.672,0.661,0.629,0.713,0.583,0.698,0.641,0.699
11,0.09079127128708454,0.6884318045134546,0.07420711329062356,0.6985354370907193,0.71,0.665,0.748,0.84,0.801,0.672,0.692,0.689,0.665,0.638,0.719,0.593,0.703,0.641,0.713
12,0.09011336310729376,0.6950428818128725,0.07399733039650287,0.7042411826479872,0.715,0.663,0.752,0.842,0.806,0.683,0.698,0.703,0.668,0.648,0.724,0.606,0.708,0.641,0.723
13,0.08997393217762015,0.7021845753697011,0.07382296275781979,0.7087840310244778,0.719,0.665,0.756,0.846,0.811,0.694,0.698,0.712,0.67,0.657,0.728,0.614,0.712,0.639,0.732
14,0.08974576091144837,0.704988305132036,0.07369809530768047,0.7128770405539087,0.723,0.67,0.759,0.85,0.815,0.701,0.699,0.73,0.671,0.663,0.73,0.621,0.718,0.637,0.741
15,0.08931145844487198,0.7110183477644414,0.07355189219408306,0.7175542188513602,0.726,0.672,0.761,0.855,0.818,0.712,0.706,0.729,0.674,0.671,0.733,0.624,0.72,0.64,0.749
16,0.08905212457964529,0.718376066304642,0.0733939589613849,0.7219006477418323,0.73,0.682,0.763,0.857,0.821,0.721,0.711,0.731,0.675,0.679,0.735,0.629,0.719,0.637,0.759
17,0.08880902139749094,0.7287279058985139,0.07333974392545371,0.7253069131903226,0.733,0.695,0.765,0.859,0.823,0.729,0.71,0.734,0.675,0.685,0.737,0.633,0.721,0.635,0.765
18,0.08844571599677545,0.7340994406786103,0.07324342697223592,0.7290664292266185,0.735,0.71,0.768,0.862,0.825,0.736,0.708,0.729,0.676,0.693,0.738,0.636,0.723,0.636,0.77
19,0.08811444457490117,0.7385152290327548,0.07317779464630632,0.732340237842974,0.737,0.721,0.769,0.864,0.827,0.743,0.71,0.725,0.676,0.699,0.739,0.638,0.725,0.637,0.775
20,0.08779837706128327,0.7440044145628734,0.07303809484322442,0.7351577305148366,0.738,0.734,0.769,0.865,0.828,0.747,0.71,0.708,0.677,0.705,0.74,0.644,0.727,0.639,0.775
21,0.0870956674925447,0.7517255201069675,0.07292248018663829,0.7377543154469571,0.739,0.749,0.77,0.867,0.829,0.752,0.713,0.704,0.677,0.709,0.741,0.642,0.729,0.638,0.778
22,0.08736953825356265,0.7536432523060157,0.07287934266688063,0.7397793809412773,0.74,0.759,0.769,0.868,0.83,0.755,0.711,0.711,0.677,0.714,0.742,0.642,0.732,0.638,0.781
23,0.08691867587556487,0.7609913897570808,0.0728815436116191,0.7406671913338049,0.74,0.763,0.769,0.867,0.83,0.758,0.713,0.697,0.677,0.718,0.742,0.645,0.732,0.636,0.782
24,0.0866392898107982,0.7680660656673515,0.07284909455803741,0.7421729415171971,0.742,0.771,0.769,0.866,0.831,0.762,0.714,0.699,0.678,0.72,0.743,0.644,0.731,0.64,0.782
25,0.08633617293533627,0.7704110062224885,0.07283846213928406,0.7431690374228114,0.742,0.778,0.769,0.866,0.831,0.761,0.716,0.714,0.678,0.723,0.742,0.645,0.731,0.639,0.784
26,0.08585231178550175,0.7752188357169313,0.0728473468009292,0.7433408782929832,0.742,0.78,0.769,0.867,0.831,0.765,0.713,0.7,0.678,0.724,0.743,0.645,0.732,0.634,0.783
27,0.08556171525436002,0.778713879272202,0.07285989319311224,0.7433174481162165,0.742,0.782,0.768,0.866,0.832,0.764,0.713,0.698,0.678,0.726,0.742,0.644,0.73,0.635,0.783
28,0.08527735443309514,0.7838150615877393,0.07286194966452018,0.7438784119106795,0.742,0.783,0.767,0.868,0.832,0.765,0.717,0.691,0.677,0.725,0.743,0.643,0.732,0.636,0.783
29,0.08502823039224315,0.7859814345916656,0.07286435864058523,0.7443355357456529,0.741,0.786,0.767,0.867,0.831,0.764,0.717,0.698,0.678,0.727,0.742,0.645,0.732,0.639,0.783
30,0.08497563200150669,0.7891770012740775,0.07285434108397323,0.7440510962874465,0.741,0.785,0.766,0.868,0.832,0.765,0.715,0.694,0.677,0.727,0.741,0.644,0.734,0.637,0.783
31,0.08473130184932127,0.7919307028268359,0.07290984087702507,0.7442886531532716,0.74,0.788,0.766,0.867,0.832,0.766,0.716,0.697,0.677,0.728,0.741,0.644,0.732,0.637,0.783
32,0.08441345709785122,0.7936103336470582,0.07292627721954338,0.744101100282631,0.739,0.79,0.764,0.867,0.831,0.768,0.713,0.702,0.678,0.728,0.74,0.645,0.733,0.636,0.782
33,0.08406489344970351,0.8000812490276965,0.07294963422595854,0.7439368373485734,0.74,0.788,0.763,0.868,0.831,0.765,0.713,0.695,0.678,0.729,0.74,0.641,0.733,0.639,0.783
34,0.08369780444199455,0.8010916077367864,0.07296968920563296,0.743820282163245,0.74,0.789,0.763,0.867,0.832,0.766,0.714,0.694,0.677,0.729,0.74,0.641,0.733,0.635,0.783
35,0.0836900987847505,0.8008696203490651,0.07299481793982239,0.7439532477509184,0.739,0.793,0.763,0.866,0.832,0.766,0.714,0.685,0.677,0.729,0.739,0.641,0.735,0.633,0.784
